,Name,Interchange,Town,lat,long
0,"['Ang Mo Kio Bus Interchange', 'Ang Mo Kio', '']",Ang Mo Kio Bus Interchange,Ang Mo Kio,1.3696079,103.8484982
1,"['Bedok Bus Interchange', 'Bedok', '']",Bedok Bus Interchange,Bedok,1.3249227,103.9290665
2,"['Bishan Bus Interchange', 'Bishan', '']",Bishan Bus Interchange,Bishan,1.3510972,103.849937
3,"['Boon Lay Bus Interchange', 'Jurong West', '']",Boon Lay Bus Interchange,Jurong West,1.339323,103.70546
4,"['Buangkok Bus Interchange', 'Buangkok', '']",Buangkok Bus Interchange,Buangkok,1.3829831,103.8933556
5,"['Bukit Batok Bus Interchange', 'Bukit Batok', '']",Bukit Batok Bus Interchange,Bukit Batok,1.349994,103.75106
6,"['Bukit Merah Bus Interchange', 'Bukit Merah', '']",Bukit Merah Bus Interchange,Bukit Merah,1.282102,103.817223
7,"['Bukit Panjang Bus Interchange', 'Bukit Panjang', '']",Bukit Panjang ITH Transport Hub,Bukit Panjang,1.3784446,103.7638759
8,"['Buona Vista Bus Terminal', 'Buona Vista', '']",Buona Vista Bus Terminal,Buona Vista,1.3090617,103.7921706
9,"['Changi Airport Bus Terminal', 'Changi Airport', '']",Changi Airport Bus Terminal,Changi Airport,1.3644202,103.9915308
10,"['Changi Business Park Bus Terminal', 'Changi Business Park', '']",Changi Business Park Bus Terminal,Changi Business Park,1.341858,103.9670408
11,"['Changi Village Bus Terminal', 'Changi Village', '']",Changi Village Bus Terminal,Changi Village,1.3893275,103.9877498
12,"['Choa Chu Kang Bus Interchange', 'Choa Chu Kang', '']",Choa Chu Kang Bus Interchange,Choa Chu Kang,1.3861292,103.7458494
13,"['Clementi Bus Interchange', 'Clementi', '']",Clementi Bus Interchange,Clementi,1.3147484,103.763691
14,"['Eunos Bus Interchange', 'Eunos', '']",Eunos Bus Interchange,Eunos,1.319337,103.90181
15,"['Expo Bus Terminal', 'Changi Business Park', '']",Changi Business Park Bus Terminal,Changi Business Park,1.341858,103.9670408
16,"['Ghim Moh Bus Terminal', 'Ghim Moh', '']",Ghim Moh Bus Terminal,Ghim Moh,1.3110525,103.7893395
17,"['HarbourFront Bus Interchange', 'HarbourFront', '']",HarbourFront Bus Interchange,HarbourFront,1.2638969,103.8197393
18,"['Hougang Central Bus Interchange', 'Hougang', '']",Hougang Central Bus Interchange,Hougang,1.3711415,103.8926156
19,"['Hougang South Bus Interchange', 'Hougang', '']",Hougang South Bus Interchange,Hougang,1.3612182,103.8862529
20,"['Joo Koon Bus Interchange', 'Joo Koon', '']",Joo Koon Bus Interchange,Joo Koon,1.3256481,103.6784801
21,"['Jurong East Bus Interchange', 'Jurong East', '']",Jurong East Bus Interchange,Jurong East,1.3358972,103.7425966
22,"['Kampong Bahru Bus Terminal', 'Kampong Bahru', '']",Kampong Bahru Bus Terminal,Kampong Bahru,1.2760428,103.8326226
23,"['Kent Ridge Bus Terminal', 'Kent Ridge', '']",Kent Ridge Bus Terminal,Kent Ridge,1.2942003,103.7697872
24,"['Lorong 1 Geylang Bus Terminal', 'Kallang', '']",Lorong 1 Geylang Bus Terminal,Kallang,1.3104363,103.8716892
25,"['Marina Centre Bus Terminal', 'Marina Centre', '']",Marina Centre Bus Terminal,Marina Centre,1.290635,103.8619589
28,"['Pasir Ris Bus Interchange', 'Pasir Ris', '']",Pasir Ris Bus Interchange,Pasir Ris,1.3728313,103.947632
29,"['Punggol Bus Interchange', 'Punggol', '']",Punggol Bus Interchange,Punggol,1.4042483,103.9022843
30,"['Queen Street Bus Terminal', 'Bugis', '']",Queen Street Bus Terminal,Bugis,1.303537,103.8567355
31,"[""Saint Michael's Bus Terminal"", 'Balestier', '']",Saint Michael's Bus Terminal,Balestier,1.3261132,103.8555061
32,"['Sembawang Bus Interchange', 'Sembawang', '']",Sembawang Interchange,Sembawang,1.4472813,103.8195946
33,"['Sengkang Bus Interchange', 'Sengkang', '']",Sengkang Bus Interchange,Sengkang,1.3923541,103.8961243
34,"['Serangoon Bus Interchange', 'Serangoon', '']",Serangoon Bus Interchange,Serangoon,1.3507585,103.8713991
35,"['Shenton Way Bus Terminal', 'Tanjong Pagar', '']",Shenton Way Bus Terminal,Tanjong Pagar,1.2746784,103.8476788
36,"['Sims Place Bus Terminal', 'Sims Place', '']",Sims Place Bus Terminal,Sims Place,1.3160709,103.8793543
37,"['Taman Jurong Bus Terminal', 'Jurong West', '']",Taman Jurong Bus Terminal,Jurong West,1.3290215,103.7237798
38,"['Tampines Bus Interchange', 'Tampines', '']",Tampines Bus Interchange,Tampines,1.3542075,103.9435079
39,"['Toa Payoh Bus Interchange', 'Toa Payoh', '']",Toa Payoh Int,Toa Payoh,1.3320244,103.84691
40,"['Upper East Coast Bus Terminal', 'Bedok', '']",Upper East Coast Bus Terminal,Bedok,1.3182141,103.9525982
41,"['Woodlands Regional Bus Interchange', 'Woodlands', '']",Woodlands Regional Bus Interchange,Woodlands,1.4373535,103.7859643
42,"['Yio Chu Kang Bus Interchange', 'Ang Mo Kio', '']",Yio Chu Kang Bus Interchange,Ang Mo Kio,1.3811414,103.8455266
43,"['Yishun Bus Interchange', 'Yishun']",Yishun Bus Interchange,Yishun,1.4282804608195987,103.83583824033182
