,0,lat,long
0,ALEXANDRA HOSPITAL,1.2865882,103.8012749
1,CHANGI GENERAL HOSPITAL,1.3401915,103.9495701
2,INSTITUTE OF MENTAL HEALTH / WOODBRIDGE HOSPITAL,1.3818906,103.8847242
3,KHOO TECK PUAT HOSPITAL,1.4239907,103.8379538
4,KK WOMEN'S AND CHILDREN'S HOSPITAL,1.3105564,103.8468048
5,NATIONAL UNIVERSITY HOSPITAL,1.352083,103.819836
6,NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL,1.3330948,103.7461814
7,SENGKANG GENERAL HOSPITAL,1.3936788,103.8931894
8,SINGAPORE GENERAL HOSPITAL,1.2804242,103.8348123
9,TAN TOCK SENG HOSPITAL PTE LTD,1.3213889,103.8458333
10,WOODLANDS HEALTH,1.4233104,103.8372044
11,YISHUN COMMUNITY HOSPITAL,1.4237279,103.8374029
12,YISHUN HEALTH CAMPUS,1.430368,103.8353628
